iterations,run0
0,-94.61974744058979
81920,-81.87640046047326
163840,-79.04735344763628
245760,-44.28960592933111
327680,-57.2266575340004
409600,-22.77353882484434
491520,-40.5165484267305
573440,-28.425550078906156
655360,-14.203459204154692
737280,-30.458505545605846
819200,-27.474420360963684
901120,-31.702802471985034
983040,-15.608225007839739
1064960,-39.262943558792
1146880,-29.49969548116048
1228800,-45.203195765275744
1310720,-31.763879718513664
1392640,-58.93976622366587
1474560,-74.7869462519191
1556480,-62.85931161159989
1638400,-38.324458353873716
1720320,-59.254003433264145
1802240,-49.17620390692032
1884160,-60.04330079716863
1966080,-39.87857353727544
2048000,-39.173584671001784
2129920,-29.17983657135877
2211840,-44.048439718741484
2293760,-18.307783717069462
2375680,-18.01947811324002
2457600,-25.67559359175898
2539520,-36.681740806309406
2621440,-30.111826294203468
2703360,-32.56654106307994
2785280,-18.426293162449593
2867200,-38.3466315099149
2949120,-49.7035560003428
3031040,-44.4535290600213
3112960,-49.18618676113967
3194880,-22.056314850654395
3276800,-33.81767096221882
3358720,-49.55331474974672
3440640,-41.62037017240579
3522560,-39.887300200523384
3604480,-56.0148047591274
3686400,-60.606580777046496
3768320,-49.51618914855945
3850240,-42.584280456168436
3932160,-48.27274956134091
4014080,-39.43787456343178
4096000,-47.118969526981246
