timesteps,run0
0,-514.926846367693
327680,-501.07435729353386
655360,-512.2794805803534
983040,-520.1983385059305
1310720,-524.8438150096306
1638400,-536.8823622912554
1966080,-513.5386555859354
2293760,-507.96391435818913
2621440,-520.7468491525676
2949120,-538.991629560957
3276800,-534.2832283629418
3604480,-514.7263235779817
3932160,-532.1113319354092
4259840,-517.8329235098344
4587520,-516.7783112426671
4915200,-441.8091174539799
5242880,-483.0522427109833
5570560,-517.0375776771675
5898240,-464.3588471674002
6225920,-509.9976185991948
6553600,-466.43409618184404
6881280,-527.7193317593709
7208960,-469.3186759486064
7536640,-521.2176532469
7864320,-480.75883328437465
8192000,-497.9125082793044
8519680,-454.4222479511197
8847360,-396.24431098917205
9175040,-413.65866808265207
9502720,-474.97094441531954
9830400,-457.64032247892777
10158080,-411.7442184162016
10485760,-405.40946863315907
10813440,-355.15767277564254
11141120,-411.07355833496666
11468800,-365.5013242883739
11796480,-315.7693967153935
12124160,-319.49855963155625
12451840,-296.5639829391576
12779520,-294.7718067488158
13107200,-292.2741592155381
13434880,-247.5287562536623
13762560,-305.8753746529749
14090240,-274.4281429341238
14417920,-251.61913121944153
14745600,-287.2167916441741
15073280,-297.52308122908653
15400960,-347.9529474055251
15728640,-273.8690535958706
16056320,-297.46007224349285
16384000,-325.67385631633937
16711680,-298.13060722098464
17039360,-271.37884290630444
17367040,-217.48786021283047
17694720,-254.94756852002556
18022400,-237.9655500625491
18350080,-260.00643588621756
18677760,-271.29596640396426
19005440,-266.94013244541117
19333120,-281.6238441748839
19660800,-207.88250808455734
19988480,-273.1982642485788
20316160,-225.10707816066585
20643840,-212.8125670134142
20971520,-232.84256121613805
21299200,-223.64947181492636
21626880,-187.44545431106053
21954560,-180.2514467625363
22282240,-192.13025261339695
22609920,-168.75411661603576
22937600,-190.91261248124135
23265280,-146.51438286333675
23592960,-131.48725202854249
23920640,-140.65510940594746
24248320,-139.07397552851816
24576000,-97.49204376398237
24903680,-132.175220664257
25231360,-112.30492712556367
25559040,-120.70330398278595
25886720,-110.15671943066208
26214400,-133.95795660156352
26542080,-103.71993856543182
26869760,-102.77512550254778
27197440,-94.24914968322669
27525120,-96.11395807520024
27852800,-92.6333565401392
28180480,-119.29441285038928
28508160,-92.69228824974395
28835840,-113.92731271686786
29163520,-107.22260007767659
29491200,-95.41900472636964
29818880,-93.93268814561537
30146560,-93.82986035638744
30474240,-91.98497640558932
30801920,-81.84139401095256
31129600,-122.3005621766149
31457280,-107.75282145835375
31784960,-82.88247369272645
32112640,-93.61289093854413
32440320,-105.7845516898644
32768000,-91.38169567390469
33095680,-93.34635883986172
33423360,-104.88334461102659
33751040,-84.79186287056807
34078720,-104.5850573490195
34406400,-97.7741174399018
34734080,-99.98906735287184
35061760,-91.5744554628652
35389440,-87.20252337471837
35717120,-90.53176596914334
36044800,-86.05984875074265
36372480,-82.94048022111386
36700160,-120.61589981177774
37027840,-78.55218638459392
37355520,-84.70693161350162
37683200,-90.31170722331063
38010880,-91.27929422961533
38338560,-90.99475164970833
38666240,-79.44730464809028
38993920,-90.02482462850836
39321600,-101.43416475438679
39649280,-98.41241269162084
39976960,-72.88658277336549
40304640,-84.7303376633492
40632320,-107.70123590132246
40960000,-92.61130785977532
41287680,-91.85731220908201
41615360,-94.6799906321914
41943040,-94.3562505261306
42270720,-81.88784028459577
42598400,-88.36248913486949
42926080,-88.16974548724892
43253760,-96.51999737289286
43581440,-86.76726274856415
43909120,-77.4803146236771
44236800,-67.01112396075209
44564480,-73.55213280545682
44892160,-97.4138947540229
45219840,-60.58866342590512
45547520,-70.38211343817133
45875200,-107.19457355531804
46202880,-94.91041250863216
46530560,-108.39347991950204
46858240,-80.55789355230849
47185920,-82.73367160092994
47513600,-101.72087618511847
47841280,-79.42739413333547
48168960,-78.67383984218098
48496640,-81.21426496271424
48824320,-70.68433932187642
49152000,-70.78237176363882
49479680,-103.20335749555653
49807360,-94.22758194764818
50135040,-69.14392354335476
50462720,-95.9947963670751
50790400,-96.63059966356809
51118080,-90.70524154593357
51445760,-79.57058423460509
51773440,-81.12703109112508
52101120,-68.20376795796993
52428800,-76.87712844677735
52756480,-82.01167249557314
53084160,-80.5076435798152
53411840,-72.27405143047021
53739520,-92.42854890497783
54067200,-75.2859435591163
54394880,-82.17223087146648
54722560,-59.54947118690474
55050240,-74.59279814691361
55377920,-60.141266023425125
55705600,-86.88353363609448
56033280,-81.47417415755429
56360960,-67.1889362132924
56688640,-67.52263393355707
57016320,-61.31538611063018
57344000,-83.64620739535552
57671680,-81.23521500245697
57999360,-72.27831543817892
58327040,-84.38903419434368
58654720,-62.14755610460991
58982400,-115.4157149004924
59310080,-66.67947883818755
59637760,-103.43781534594488
59965440,-96.43441215342303
60293120,-66.29456810217474
